1,2,0,0,6
3,1,0,0,6
4,2,1,4,10
5,3,0,0,6
7,1,0,0,5
8,2,0,0,9
10,1,1,1,6
11,2,0,0,8
12,3,0,0,5
14,1,1,1,7
15,2,0,0,7
16,1,1,1,8
18,1,0,0,7
19,2,0,0,6
20,3,1,1,6
22,1,0,0,6
23,1,0,0,5
24,2,0,0,5
25,3,0,0,5
27,1,0,0,4
28,1,0,0,3
29,2,1,2,7
30,3,0,0,4
31,2,0,0,6
32,3,0,0,3
34,1,0,0,2
35,2,0,0,5
36,3,0,0,2
38,1,1,1,3
39,2,0,0,4
40,3,0,0,1
42,1,1,1,4
43,2,0,0,3
44,3,1,1,2
46,1,1,2,6
47,2,0,0,2
48,3,1,1,3
52,1,1,5,11
53,2,0,0,1
53,2,1,1,2
54,3,1,1,4
56,1,0,0,10
57,2,0,0,1
58,3,1,1,5
60,1,0,0,9
61,2,1,1,2
62,3,0,0,4
64,1,0,0,8
66,3,1,1,5
67,2,0,0,1
67,2,1,1,2
68,1,0,0,7
69,3,0,0,4
70,2,1,3,5
71,1,1,1,8
73,3,0,0,3
74,2,0,0,4
75,3,0,0,2
77,1,0,0,7
78,2,0,0,3
79,3,0,0,1
79,3,1,1,2
81,1,1,8,15
82,2,0,0,2
83,3,0,0,1
83,3,1,1,2
85,1,0,0,14
86,2,0,0,1
86,2,1,1,2
87,3,0,0,1
87,3,1,1,2
89,1,0,0,13
90,2,1,4,6
91,3,1,1,3
93,1,0,0,12
94,2,0,0,5
95,3,1,1,4
97,1,0,0,11
98,2,1,1,6
99,3,0,0,3
101,1,0,0,10
102,3,1,1,4
105,1,0,0,9
106,1,0,0,8
107,1,0,0,7
109,1,0,0,6
110,2,1,1,7
111,3,0,0,3
113,1,0,0,5
114,2,0,0,6
115,3,0,0,2
117,1,0,0,4
118,2,0,0,5
119,1,0,0,3
121,3,1,3,5
122,2,0,0,4
123,2,0,0,3
124,1,1,1,4
126,3,1,5,10
127,2,0,0,2
131,3,0,0,9
132,2,0,0,1
132,2,1,1,2
133,1,0,0,3
135,3,0,0,8
136,2,1,3,5
137,1,0,0,2
139,3,0,0,7
140,2,0,0,4
141,1,1,1,3
143,3,0,0,6
144,2,0,0,3
145,1,1,1,4
147,3,0,0,5
148,2,1,1,4
149,1,1,1,5
151,3,0,0,4
152,2,1,3,7
153,1,1,1,6
155,3,0,0,3
156,2,0,0,6
157,1,1,8,14
160,3,0,0,2
161,2,0,0,5
162,1,0,0,13
164,3,1,1,3
165,2,0,0,4
166,1,0,0,12
168,3,0,0,2
170,3,1,1,3
171,2,1,1,5
172,1,0,0,11
173,2,0,0,4
174,3,1,1,4
176,1,0,0,10
177,2,0,0,3
178,3,0,0,3
180,1,0,0,9
181,2,0,0,2
182,3,0,0,2
184,1,0,0,8
185,1,0,0,7
186,2,0,0,1
186,2,1,1,2
187,3,1,2,4
189,1,0,0,6
190,2,1,1,3
191,3,0,0,3
192,3,0,0,2
194,3,1,1,3
195,2,1,1,4
196,1,0,0,5
198,3,1,1,4
199,2,1,1,5
200,1,0,0,4
202,3,0,0,3
203,2,0,0,4
204,1,0,0,3
205,1,0,0,2
206,1,1,1,3
208,3,0,0,2
209,2,0,0,3
210,1,0,0,2
212,3,1,1,3
213,2,1,1,4
214,1,0,0,1
214,1,1,1,2
216,3,0,0,2
217,2,0,0,3
218,1,0,0,1
219,3,0,0,1
219,3,1,1,2
